species,genus,family,species.relative,genus.relative
Epiprinus siletianus,Epiprinus,Euphorbiaceae,,
Hancea hookeriana,Hancea,Euphorbiaceae,,
Mallotus philippensis,Mallotus,Euphorbiaceae,,
Claoxylon indicum,Claoxylon,Euphorbiaceae,,
Cercis glabra,Cercis,Fabaceae,,
Maackia amurensis,Maackia,Fabaceae,,
Ormosia fordiana,Ormosia,Fabaceae,,
Ormosia semicastrata,Ormosia,Fabaceae,,
Ormosia balansae,Ormosia,Fabaceae,,
Ormosia pinnata,Ormosia,Fabaceae,,
Alfaroa williamsii,Alfaroa,Juglandaceae,,
Carya alba,Carya,Juglandaceae,,
Carya cathayensis,Carya,Juglandaceae,,
Carya cordiformis,Carya,Juglandaceae,,
Carya floridana,Carya,Juglandaceae,,
Carya glabra,Carya,Juglandaceae,
Carya hunanensis,Carya,Juglandaceae,
Carya illinoinensis,Carya,Juglandaceae,
Carya kweichowensis,Carya,Juglandaceae,
Carya laciniosa,Carya,Juglandaceae,
Carya myristiciformis,Carya,Juglandaceae,
Carya ovata,Carya,Juglandaceae,
Carya sinensis,Carya,Juglandaceae,
Carya tonkinensis,Carya,Juglandaceae,
Cyclocarya paliurus,Cyclocarya,Juglandaceae,
Engelhardtia roxburghiana,Engelhardtia,Juglandaceae,
Engelhardtia spicata,Engelhardtia,Juglandaceae,
Juglans mandshurica,Juglans,Juglandaceae,
Oreomunnea mexicana,Oreomunnea,Juglandaceae,
Pterocarya hupehensis,Pterocarya,Juglandaceae,
Rhoiptelea chiliantha,Rhoiptelea,Juglandaceae,
Platycarya strobilacea,Platycarya,Juglandaceae,,Cyclocarya
Carya pallida,Carya,Juglandaceae,Carya floridana,
Carya palmeri,Carya,Juglandaceae,,
Hicoria texana,Hicoria,Juglandaceae,,
Pterospermum heterophyllum,Pterospermum,Malvaceae,,
Reevesia thyrsoidea,Reevesia,Malvaceae,,
Tilia amurensis,Tilia,Malvaceae,,
Tilia miqueliana,Tilia,Malvaceae,,
Tilia tuan,Tilia,Malvaceae,,
Reevesia tomentosa,Reevesia,Malvaceae,,
Tilia mandshurica,Tilia,Malvaceae,,
Tilia mongolica,Tilia,Malvaceae,,
Aglaia dasyclada,Aglaia,Meliaceae,,
Dysoxylum gotadhora,Dysoxylum,Meliaceae,,
Decaspermum montanum,Decaspermum,Myrtaceae,,
Fraxinus chinensis,Fraxinus,Oleaceae,,
Ligustrum compactum,Ligustrum,Oleaceae,
Ligustrum sinense,Ligustrum,Oleaceae,
Syringa reticulata,Syringa,Oleaceae,
Fraxinus mandshurica,Fraxinus,Oleaceae,
Diplospora dubia,Diplospora,Rubiaceae,
Lasianthus chinensis,Lasianthus,Rubiaceae,
Lasianthus lancifolius,Lasianthus,Rubiaceae,
Psydrax dicoccos,Psydrax,Rubiaceae,
Sinoadina racemosa,Sinoadina,Rubiaceae,
Gardenia hainanensis,Gardenia,Rubiaceae,
Prismatomeris tetrandra,Prismatomeris,Rubiaceae,
Meliosma cuneifolia,Meliosma,Sabiaceae,
Meliosma rigida,Meliosma,Sabiaceae,
Meliosma laui,Meliosma,Sabiaceae,
Casearia velutina,Casearia,Salicaceae,
Idesia polycarpa,Idesia,Salicaceae,
Populus tremula,Populus,Salicaceae,
Casearia membranacea,Casearia,Salicaceae,
Scolopia buxifolia,Scolopia,Salicaceae,
Acer barbinerve,Acer,Sapindaceae,
Acer henryi,Acer,Sapindaceae,
Acer laevigatum,Acer,Sapindaceae,
Acer mandshuricum,Acer,Sapindaceae,
Acer maximowiczianum,Acer,Sapindaceae,
Acer oliverianum,Acer,Sapindaceae,
Acer pseudosieboldianum,Acer,Sapindaceae,
Acer tutcheri,Acer,Sapindaceae,
Aesculus turbinata,Aesculus,Sapindaceae,
Dipteronia sinensis,Dipteronia,Sapindaceae,
Eurycorymbus cavaleriei,Eurycorymbus,Sapindaceae,
Acer amplum,Acer,Sapindaceae,
Acer cordatum,Acer,Sapindaceae,
Nephelium topengii,Nephelium,Sapindaceae,
Pyrenaria jonquieriana,Pyrenaria,Theaceae,
Schima argentea,Schima,Theaceae,
Schima superba,Schima,Theaceae,
Stewartia crassifolia,Stewartia,Theaceae,
Stewartia sinensis,Stewartia,Theaceae,
Schima parviflora,Schima,Theaceae,
Ulmus davidiana,Ulmus,Ulmaceae,
Ulmus macrocarpa,Ulmus,Ulmaceae,
Zelkova schneideriana,Zelkova,Ulmaceae,
Zelkova serrata,Zelkova,Ulmaceae,
Ulmus changii,Ulmus,Ulmaceae,
Ulmus laciniata,Ulmus,Ulmaceae,
